,internship_id,title,skills,location,work_type,company,clean_description
140445,692673065176465,Account Director,Account management Client relations Marketing strategies Campaign optimization Data analysis Communication skills,Majuro,Intern,Lithia Motors,"Account Strategists work in advertising or marketing agencies, managing client accounts. They develop strategies to meet client goals, oversee campaign execution, and maintain client satisfaction by providing expert guidance and solutions."
1373563,1549768565830865,Account Director,Account management Client relations Marketing strategies Campaign optimization Data analysis Communication skills,Gibraltar,Intern,Travis Perkins,"Account Strategists work in advertising or marketing agencies, managing client accounts. They develop strategies to meet client goals, oversee campaign execution, and maintain client satisfaction by providing expert guidance and solutions."
561300,1569299375842341,Account Director,Business development Sales strategy Market analysis Client acquisition Team leadership Strategic planning Presentation skills,Bratislava,Intern,Commercial Metals,"Business Development Directors lead efforts to identify and pursue new business opportunities. They develop growth strategies, build relationships with clients, and oversee business development teams to achieve revenue and expansion goals."
419761,2156988051381178,Account Director,Account management Client relations Marketing strategies Campaign optimization Data analysis Communication skills,Port Moresby,Intern,Lululemon athletica,"Account Strategists work in advertising or marketing agencies, managing client accounts. They develop strategies to meet client goals, oversee campaign execution, and maintain client satisfaction by providing expert guidance and solutions."
1210031,1877479297481823,Account Director,Account management Client relations Marketing strategies Campaign optimization Data analysis Communication skills,Basseterre,Intern,Bunzl,"Account Strategists work in advertising or marketing agencies, managing client accounts. They develop strategies to meet client goals, oversee campaign execution, and maintain client satisfaction by providing expert guidance and solutions."
781847,1493914767000198,Account Director,Business development Sales strategy Market analysis Client acquisition Team leadership Strategic planning Presentation skills,Majuro,Intern,Adobe,"Business Development Directors lead efforts to identify and pursue new business opportunities. They develop growth strategies, build relationships with clients, and oversee business development teams to achieve revenue and expansion goals."
1513518,1074007823144027,Account Director,Business development Sales strategy Market analysis Client acquisition Team leadership Strategic planning Presentation skills,Amman,Intern,Johnson & Johnson,"Business Development Directors lead efforts to identify and pursue new business opportunities. They develop growth strategies, build relationships with clients, and oversee business development teams to achieve revenue and expansion goals."
635838,2449255664957655,Account Director,Account management Client relations Marketing strategies Campaign optimization Data analysis Communication skills,Caracas,Intern,ARKO,"Account Strategists work in advertising or marketing agencies, managing client accounts. They develop strategies to meet client goals, oversee campaign execution, and maintain client satisfaction by providing expert guidance and solutions."
67033,1616213792796889,Account Director,Business development Sales strategy Market analysis Client acquisition Team leadership Strategic planning Presentation skills,Hagatna,Intern,StoneX Group,"Business Development Directors lead efforts to identify and pursue new business opportunities. They develop growth strategies, build relationships with clients, and oversee business development teams to achieve revenue and expansion goals."
670728,1519163755060658,Account Director,Account management Client relations Marketing strategies Campaign optimization Data analysis Communication skills,Dushanbe,Intern,Renishaw,"Account Strategists work in advertising or marketing agencies, managing client accounts. They develop strategies to meet client goals, oversee campaign execution, and maintain client satisfaction by providing expert guidance and solutions."
1134867,3067389070369329,Account Executive,Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge,Copenhagen,Intern,JD Wetherspoon,"A Sales Account Executive is responsible for acquiring and managing business accounts. They identify sales opportunities, negotiate contracts, and meet revenue targets."
168421,1279817032049443,Account Executive,Key account management Sales strategy development Negotiation and closing skills Relationship building Industry and market knowledge,Antananarivo,Intern,Hilton Worldwide Holdings,A Key Account Executive manages strategic accounts for a company. They build strong client relationships and work to expand business opportunities within these key accounts.
332269,941803938610798,Account Executive,Key account management Sales strategy development Negotiation and closing skills Relationship building Industry and market knowledge,Zagreb,Intern,Qualcomm,A Key Account Executive manages strategic accounts for a company. They build strong client relationships and work to expand business opportunities within these key accounts.
221066,1884713124405084,Account Executive,Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge,Cairo,Intern,Huntsman,"A Sales Account Executive is responsible for acquiring and managing business accounts. They identify sales opportunities, negotiate contracts, and meet revenue targets."
1433960,926101164720553,Account Executive,Advertising and marketing knowledge Client relationship management Advertising campaign development Budget management Media planning and buying,Montevideo,Intern,Origin Energy,"An Advertising Account Executive works in advertising agencies, managing client accounts and overseeing the creation and execution of advertising campaigns."
221188,2862270561821101,Account Executive,Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge,Wellington,Intern,Sonoco Products,"A Sales Account Executive is responsible for acquiring and managing business accounts. They identify sales opportunities, negotiate contracts, and meet revenue targets."
1011029,1641386393036551,Account Executive,Advertising and marketing knowledge Client relationship management Advertising campaign development Budget management Media planning and buying,Moscow,Intern,Genuine Parts,"An Advertising Account Executive works in advertising agencies, managing client accounts and overseeing the creation and execution of advertising campaigns."
1320754,1911621611879588,Account Executive,Key account management Sales strategy development Negotiation and closing skills Relationship building Industry and market knowledge,Dodoma,Intern,Markel,A Key Account Executive manages strategic accounts for a company. They build strong client relationships and work to expand business opportunities within these key accounts.
51561,82393052880606,Account Executive,Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge,Paris,Intern,China Vanke,"A Sales Account Executive is responsible for acquiring and managing business accounts. They identify sales opportunities, negotiate contracts, and meet revenue targets."
396185,629573620682459,Account Executive,Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge,"Malabo (de jure),",Intern,Leidos Holdings,"A Sales Account Executive is responsible for acquiring and managing business accounts. They identify sales opportunities, negotiate contracts, and meet revenue targets."
1214318,2356026137623644,Account Manager,Account management Sales strategy Negotiation and closing skills,Panama City,Intern,Expeditors International of Washington,"A Sales Account Manager is responsible for building and maintaining relationships with clients, identifying their needs, and proposing tailored solutions to achieve sales targets."
1145086,637879414239282,Account Manager,Account management Sales strategy Negotiation and closing skills,Hanoi,Intern,Loews,"A Sales Account Manager is responsible for building and maintaining relationships with clients, identifying their needs, and proposing tailored solutions to achieve sales targets."
738631,121043586838060,Account Manager,Account management Sales strategy Negotiation and closing skills,N'Djamena,Intern,Deutsche Wohnen SE,"A Sales Account Manager is responsible for building and maintaining relationships with clients, identifying their needs, and proposing tailored solutions to achieve sales targets."
482186,3083283607241556,Account Manager,Account management Sales strategy Negotiation and closing skills,Rome,Intern,Morgan Stanley,"A Sales Account Manager is responsible for building and maintaining relationships with clients, identifying their needs, and proposing tailored solutions to achieve sales targets."
1473172,2606012072668109,Account Manager,Account management Sales strategy Negotiation and closing skills,Gaborone,Intern,Hilton Worldwide Holdings,"A Sales Account Manager is responsible for building and maintaining relationships with clients, identifying their needs, and proposing tailored solutions to achieve sales targets."
356938,703458716611773,Account Manager,Account management Sales strategy Negotiation and closing skills,Majuro,Intern,Regeneron Pharmaceuticals,"A Sales Account Manager is responsible for building and maintaining relationships with clients, identifying their needs, and proposing tailored solutions to achieve sales targets."
1040900,20674431290463,Account Manager,Account management Sales strategy Negotiation and closing skills,Monrovia,Intern,Applied Materials,"A Sales Account Manager is responsible for building and maintaining relationships with clients, identifying their needs, and proposing tailored solutions to achieve sales targets."
108434,1456403290344447,Account Manager,Account management Sales strategy Negotiation and closing skills,Pristina,Intern,Par Pacific Holdings,"A Sales Account Manager is responsible for building and maintaining relationships with clients, identifying their needs, and proposing tailored solutions to achieve sales targets."
74387,1459987172791292,Account Manager,Account management Sales strategy Negotiation and closing skills,Funafuti,Intern,Seven Group Holdings,"A Sales Account Manager is responsible for building and maintaining relationships with clients, identifying their needs, and proposing tailored solutions to achieve sales targets."
864473,660514407794870,Account Manager,Account management Sales strategy Negotiation and closing skills,Singapore,Intern,Weir Group,"A Sales Account Manager is responsible for building and maintaining relationships with clients, identifying their needs, and proposing tailored solutions to achieve sales targets."
1499117,1667429566405810,Accountant,"Financial reporting Accounting software (e.g., QuickBooks) Auditing GAAP knowledge",Kyiv (also known as Kiev),Intern,Intercontinental Exchange,"Financial Accountants handle financial records, prepare financial statements, and ensure compliance with accounting standards. They analyze financial data to provide accurate financial reports and support decision-making within the organization."
652836,2160233536718908,Accountant,Forensic accounting Fraud detection Legal knowledge Investigative skills,London,Intern,Exxon Mobil,"Forensic Accountants investigate financial discrepancies and fraud. They analyze financial documents, track financial transactions, and provide expert testimony in legal proceedings. They play a critical role in detecting and preventing financial fraud."
1052865,1899588795128125,Accountant,Forensic accounting Fraud detection Legal knowledge Investigative skills,Kuwait City,Intern,Rentokil Initial,"Forensic Accountants investigate financial discrepancies and fraud. They analyze financial documents, track financial transactions, and provide expert testimony in legal proceedings. They play a critical role in detecting and preventing financial fraud."
774748,2169722047190412,Accountant,Forensic accounting Fraud detection Legal knowledge Investigative skills,Havana,Intern,Santos Limited,"Forensic Accountants investigate financial discrepancies and fraud. They analyze financial documents, track financial transactions, and provide expert testimony in legal proceedings. They play a critical role in detecting and preventing financial fraud."
1381855,2901705312516444,Accountant,Tax preparation Tax planning Tax regulations Accounting Tax software proficiency,Yaren District (de facto),Intern,DuPont,"Tax Accountants specialize in tax-related matters. They prepare tax returns, assist with tax planning, and ensure compliance with tax laws and regulations. They stay updated on tax codes and advise organizations on tax strategies."
1558604,2051142107269331,Accountant,Forensic accounting Fraud detection Legal knowledge Investigative skills,Bucharest,Intern,Petronet LNG,"Forensic Accountants investigate financial discrepancies and fraud. They analyze financial documents, track financial transactions, and provide expert testimony in legal proceedings. They play a critical role in detecting and preventing financial fraud."
